fixing_rule,runtime,objective,lower_bound,gap,nodes,fix0,fix1
dual,2.3663675,0.2552760423486617,0.2552760423486617,0.0,171,630,272
dual,0.2327491,0.2552760423486617,0.2552760423486617,0.0,171,630,272
dual,0.2130528,0.2552760423486617,0.2552760423486617,0.0,171,630,272
