fixing_rule,runtime,objective,lower_bound,gap,nodes,fix0,fix1
dual,5.3877604,0.19455249287581342,0.1945524928758134,0.0,1,0,0
primal,0.0017118,0.19455249287581342,0.19455249287581342,0.0,1,0,0
